MODULE,THREADS,SCRIPT,MODEL,TIME,TIME_STDEV,SPEEDUP,EFFICIENCY,MEMORY,MEMORY_STDEV,MEMORY_DELTA
EvlModuleParallelAnnotation,16,java_simple,eclipseModel-2.5,21534,148,1.565,0.098,1862,1374,0.722
EvlModuleParallelAnnotation,16,java_simple,eclipseModel-all,36139,339,1.497,0.094,1596,927,0.358
EvlModuleParallelAnnotation,1,imdb_validator,imdb-all,1178768,,0.304,0.304,1083,,0.369
EvlModuleParallelAnnotation,1,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelAnnotation,1,java_findbugs,eclipseModel-2.0,4222829,46113,,,797,210,
EvlModuleParallelAnnotation,1,java_simple,eclipseModel-3.0,45109,131,0.928,0.928,1503,308,0.582
EvlModuleParallelAnnotation,1,java_simple,eclipseModel-all,59021,,0.917,0.917,377,,1.517
EvlModuleParallelAnnotation,2,imdb_validator,imdb-all,1126117,,0.318,0.159,888,,0.45
EvlModuleParallelAnnotation,2,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelAnnotation,2,java_findbugs,eclipseModel-2.0,3693780,374472,,,893,214,
EvlModuleParallelAnnotation,2,java_simple,eclipseModel-all,45765,461,1.182,0.591,1037,484,0.552
EvlModuleParallelAnnotation,32,imdb_validator,imdb-all,1098404,,0.326,0.01,245,,1.633
EvlModuleParallelAnnotation,32,java_1Constraint,eclipseModel-2.0,780136,,,,1220,,
EvlModuleParallelAnnotation,32,java_findbugs,eclipseModel-2.0,719588,79607,,,2099,985,
EvlModuleParallelAnnotation,32,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelAnnotation,4,imdb_validator,imdb-all,1108956,18183,0.323,0.081,2934,117,0.136
EvlModuleParallelAnnotation,4,java_1Constraint,eclipseModel-2.0,2238422,,,,145,,
EvlModuleParallelAnnotation,4,java_findbugs,eclipseModel-2.0,2169133,533564,,,971,592,
EvlModuleParallelAnnotation,4,java_simple,eclipseModel-all,39935,417,1.355,0.339,942,418,0.607
EvlModuleParallelAnnotation,8,imdb_validator,imdb-all,1084524,,0.33,0.041,6002,,0.067
EvlModuleParallelAnnotation,8,java_1Constraint,eclipseModel-2.0,1714306,,,,67,,
EvlModuleParallelAnnotation,8,java_findbugs,eclipseModel-2.0,1439922,259754,,,1011,566,
EvlModuleParallelAnnotation,8,java_simple,eclipseModel-all,37031,96,1.461,0.183,846,722,0.676
EvlModuleParallelElements,16,imdb_validator,imdb-all,38218,1959,9.371,0.586,4884,1237,0.082
EvlModuleParallelElements,16,java_1Constraint,eclipseModel-2.0,914626,59119,,,549,99,
EvlModuleParallelElements,16,java_1Constraint,eclipseModel-all,,,,,,,
EvlModuleParallelElements,16,java_findbugs,eclipseModel-2.0,813670,95148,,,1818,1444,
EvlModuleParallelElements,16,java_findbugs,eclipseModel-3.0,1266094,61043,4.424,0.277,2616,1264,0.039
EvlModuleParallelElements,16,java_manyConstraint1Context,eclipseModel-2.5,2822,246,4.726,0.295,1247,1003,0.555
EvlModuleParallelElements,16,java_simple,eclipseModel-0.2,1791,34,2.317,0.145,460,31,2.013
EvlModuleParallelElements,16,java_simple,eclipseModel-1.0,3972,157,3.724,0.233,1232,588,0.631
EvlModuleParallelElements,16,java_simple,eclipseModel-2.5,8434,178,3.995,0.25,1804,1190,0.746
EvlModuleParallelElements,16,java_simple,eclipseModel-all,14137,237,3.828,0.239,1704,1064,0.336
EvlModuleParallelElements,1,imdb_validator,imdb-all,370771,,0.966,0.966,325,,1.231
EvlModuleParallelElements,1,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelElements,1,java_findbugs,eclipseModel-2.0,4199431,59760,,,393,409,
EvlModuleParallelElements,1,java_simple,eclipseModel-3.0,46240,471,0.906,0.906,1422,550,0.615
EvlModuleParallelElements,1,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelElements,2,imdb_validator,imdb-all,183028,,1.957,0.979,2271,,0.176
EvlModuleParallelElements,2,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelElements,2,java_findbugs,eclipseModel-2.0,3515340,375768,,,395,266,
EvlModuleParallelElements,2,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelElements,32,imdb_validator,imdb-all,35193,,10.177,0.318,997,,0.401
EvlModuleParallelElements,32,java_1Constraint,eclipseModel-2.0,821041,,,,2642,,
EvlModuleParallelElements,32,java_findbugs,eclipseModel-2.0,635776,22841,,,1795,1323,
EvlModuleParallelElements,32,java_simple,eclipseModel-all,13568,,3.988,0.125,1446,,0.396
EvlModuleParallelElements,4,imdb_validator,imdb-all,92760,540,3.861,0.965,2440,2173,0.164
EvlModuleParallelElements,4,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelElements,4,java_findbugs,eclipseModel-2.0,1988885,315839,,,1256,1181,
EvlModuleParallelElements,4,java_simple,eclipseModel-all,20932,47,2.585,0.646,1571,433,0.364
EvlModuleParallelElements,8,imdb_validator,imdb-all,57698,1860,6.207,0.776,5011,1706,0.08
EvlModuleParallelElements,8,java_1Constraint,eclipseModel-2.0,1004485,,,,358,,
EvlModuleParallelElements,8,java_findbugs,eclipseModel-2.0,1230905,203162,,,1110,940,
EvlModuleParallelElements,8,java_simple,eclipseModel-all,15984,517,3.385,0.423,1503,1045,0.381
EvlModuleParallelRandom,16,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,1,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,2,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,32,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,4,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,8,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelStaged,16,imdb_validator,imdb-all,715137,6827,0.501,0.031,5093,1766,0.079
EvlModuleParallelStaged,16,java_1Constraint,eclipseModel-2.0,1025497,64896,,,782,408,
EvlModuleParallelStaged,16,java_1Constraint,eclipseModel-all,,,,,,,
EvlModuleParallelStaged,16,java_findbugs,eclipseModel-2.0,1050986,62806,,,1791,917,
